iter	Passed	Remaining
705	9622	4007
706	9634	3992
707	9644	3977
708	9661	3965
709	9680	3954
710	9693	3940
711	9704	3925
712	9714	3910
713	9725	3895
714	9735	3880
715	9745	3865
716	9755	3850
717	9765	3835
718	9775	3820
719	9788	3806
720	9803	3793
721	9816	3779
722	9828	3765
723	9841	3751
724	9853	3737
725	9863	3722
726	9874	3708
727	9886	3693
728	9898	3679
729	9913	3666
730	9932	3655
731	9948	3642
732	9959	3627
733	9972	3613
734	9985	3600
735	10002	3587
736	10020	3575
737	10036	3563
738	10049	3549
739	10066	3536
740	10081	3523
741	10091	3508
742	10105	3495
743	10116	3480
744	10127	3466
745	10138	3451
746	10151	3438
747	10163	3424
748	10174	3409
749	10191	3397
750	10205	3383
751	10216	3369
752	10226	3354
753	10236	3339
754	10246	3325
755	10256	3310
756	10265	3295
757	10275	3280
758	10285	3265
759	10294	3250
760	10304	3236
761	10319	3223
762	10334	3209
763	10348	3196
764	10359	3182
765	10369	3167
766	10379	3153
767	10389	3138
768	10399	3123
769	10409	3109
770	10419	3094
771	10429	3080
772	10440	3066
773	10455	3052
774	10469	3039
775	10480	3025
776	10490	3010
777	10501	2996
778	10511	2982
779	10519	2967
780	10529	2952
781	10538	2937
782	10547	2923
783	10557	2908
784	10566	2894
785	10582	2881
786	10597	2868
787	10607	2853
788	10616	2839
789	10625	2824
790	10634	2809
791	10643	2795
792	10652	2780
793	10662	2766
794	10671	2751
795	10682	2737
796	10691	2723
797	10703	2709
798	10719	2696
799	10733	2683
800	10744	2669
801	10754	2655
802	10763	2640
803	10773	2626
804	10783	2612
805	10793	2597
806	10803	2583
807	10813	2569
808	10823	2555
809	10834	2541
810	10849	2528
811	10862	2514
812	10873	2501
813	10885	2487
814	10898	2473
815	10907	2459
816	10917	2445
817	10926	2431
818	10936	2416
819	10946	2402
820	10956	2388
821	10973	2376
822	10992	2364
823	11004	2350
824	11015	2336
825	11024	2322
826	11035	2308
827	11044	2294
828	11055	2280
829	11065	2266
830	11075	2252
831	11086	2238
832	11099	2225
833	11116	2212
834	11128	2199
835	11141	2185
836	11154	2172
837	11166	2158
838	11176	2144
839	11186	2130
840	11195	2116
841	11204	2102
842	11213	2088
843	11222	2074
844	11238	2061
845	11254	2048
846	11269	2035
847	11286	2022
848	11296	2009
849	11342	2001
850	11414	1998
851	11468	1992
852	11494	1980
853	11537	1972
854	11586	1965
855	11616	1954
856	11643	1942
857	11689	1934
858	11804	1937
859	11929	1942
860	12027	1941
861	12068	1932
862	12097	1920
863	12111	1906
864	12124	1892
865	12136	1877
866	12181	1868
867	12221	1858
868	12237	1844
869	12250	1830
870	12263	1816
871	12276	1802
872	12288	1787
873	12298	1773
874	12308	1758
875	12320	1744
876	12336	1730
877	12349	1715
878	12360	1701
879	12373	1687
880	12383	1672
881	12392	1657
882	12403	1643
883	12413	1628
884	12424	1614
885	12433	1599
886	12444	1585
887	12460	1571
888	12477	1557
889	12488	1543
890	12498	1529
891	12508	1514
892	12518	1499
893	12528	1485
894	12538	1471
895	12548	1456
896	12560	1442
897	12572	1428
898	12585	1413
899	12602	1400
900	12616	1386
901	12630	1372
902	12641	1357
903	12653	1343
904	12661	1329
905	12672	1314
906	12683	1300
907	12694	1286
908	12705	1271
909	12718	1257
910	12739	1244
911	12752	1230
912	12764	1216
913	12774	1202
914	12786	1187
915	12798	1173
916	12810	1159
917	12820	1145
918	12834	1131
919	12852	1117
920	12875	1104
921	12887	1090
922	12903	1076
923	12918	1062
924	12938	1049
925	12953	1035
926	12970	1021
927	12994	1008
928	13011	994
929	13030	980
930	13048	967
931	13064	953
932	13080	939
933	13092	925
934	13103	910
935	13122	897
936	13138	883
937	13150	869
938	13165	855
939	13174	840
940	13183	826
941	13193	812
942	13203	798
943	13214	783
944	13224	769
945	13234	755
946	13251	741
947	13266	727
948	13278	713
949	13289	699
950	13298	685
951	13310	671
952	13319	656
953	13329	642
954	13340	628
955	13352	614
956	13363	600
957	13381	586
958	13403	573
959	13413	558
960	13425	544
961	13437	530
962	13446	516
963	13457	502
964	13467	488
965	13475	474
966	13485	460
967	13495	446
968	13509	432
969	13526	418
970	13536	404
971	13546	390
972	13555	376
973	13565	362
974	13574	348
975	13584	334
976	13594	320
977	13604	306
978	13613	292
979	13623	278
980	13638	264
981	13654	250
982	13666	236
983	13676	222
984	13686	208
985	13697	194
986	13708	180
987	13719	166
988	13731	152
989	13743	138
990	13753	124
991	13765	111
992	13781	97
993	13795	83
994	13806	69
995	13821	55
996	13839	41
997	13857	27
998	13870	13
999	13887	0
