iter	RMSE
496	45.67330787
497	45.66767316
498	45.66174917
499	45.65848707
500	45.64803318
501	45.64214356
502	45.63572417
503	45.63292365
504	45.6245145
505	45.62002023
506	45.61255711
507	45.60830781
508	45.60415257
509	45.59954079
510	45.59433386
511	45.58900664
512	45.58166562
513	45.57538211
514	45.56996664
515	45.56344559
516	45.55946224
517	45.55451243
518	45.54988299
519	45.5455592
520	45.54331271
521	45.54097929
522	45.53699115
523	45.53360333
524	45.53060119
525	45.52681868
526	45.52203423
527	45.52012141
528	45.51860778
529	45.51115993
530	45.50489352
531	45.50116629
532	45.4980782
533	45.49440317
534	45.48830696
535	45.48348379
536	45.47639787
537	45.47225275
538	45.46713131
539	45.46467558
540	45.46270103
541	45.45780924
542	45.44999129
543	45.44417131
544	45.44131268
545	45.43601557
546	45.4315896
547	45.4292316
548	45.41969296
549	45.41491793
550	45.41045607
551	45.40567085
552	45.39876603
553	45.39629697
554	45.39188522
555	45.38475564
556	45.37969997
557	45.37008619
558	45.36500701
559	45.3575051
560	45.35201188
561	45.34938952
562	45.34501043
563	45.33736716
564	45.33281792
565	45.32936972
566	45.32250014
567	45.3183413
568	45.31161739
569	45.30541663
570	45.30176612
571	45.29850579
572	45.29388354
573	45.29268694
574	45.28903251
575	45.28571807
576	45.28284778
577	45.27897694
578	45.27397409
579	45.26871063
580	45.2604302
581	45.25899781
582	45.25392852
583	45.25031471
584	45.24675149
585	45.24053418
586	45.23702275
587	45.23418642
588	45.23051898
589	45.22408581
590	45.21789288
591	45.21351571
592	45.21132241
593	45.20867566
594	45.20346281
595	45.19724278
596	45.19175652
597	45.18847948
598	45.18507297
599	45.18064771
600	45.17646345
601	45.17433894
602	45.17172777
603	45.16591699
604	45.16198729
605	45.1569366
606	45.15280728
607	45.14670866
608	45.14005597
609	45.13294711
610	45.12621975
611	45.12417479
612	45.11799377
613	45.11396259
614	45.1099418
615	45.10573825
616	45.10332686
617	45.09662562
618	45.09418601
619	45.09005292
620	45.08645969
621	45.08318869
622	45.07583697
623	45.06845367
624	45.06226567
625	45.05569726
626	45.05093477
627	45.04677697
628	45.04075453
629	45.03787203
630	45.03346599
631	45.0290055
632	45.02551657
633	45.02255578
